,index,startTime,endTime,holdingTime,interval,changeAmount,accumAmount,drink
0,0,4,8,4,4,-12,12,True
1,1,13,16,-888,-888,45,12,False
2,2,20,24,4,12,-33,45,True
3,3,29,33,4,5,-13,58,True
4,4,38,42,4,5,13,58,False
5,5,47,51,4,5,-12,70,True
6,6,56,59,-888,-888,45,70,False
7,7,63,67,4,12,-33,103,True
8,8,72,76,4,5,-13,116,True
9,9,81,85,4,5,13,116,False
10,10,90,94,4,5,-12,128,True
11,11,99,102,-888,-888,45,128,False
12,12,106,110,4,12,-33,161,True
13,13,115,119,4,5,-13,174,True
14,14,124,128,4,5,13,174,False
15,15,133,137,4,5,-12,186,True
16,16,142,145,-888,-888,45,186,False
17,17,149,153,4,12,-33,219,True
18,18,158,162,4,5,-13,232,True
19,19,167,171,4,5,13,232,False
20,20,176,180,4,5,-12,244,True
21,21,185,188,-888,-888,45,244,False
22,22,192,196,4,12,-33,277,True
23,23,201,205,4,5,-13,290,True
24,24,210,214,4,5,-999,-999,
