,index,startTime,endTime,holdingTime,interval,changeAmount,accumAmount,drink
0,0,78,87,9,78,-17,17,True
1,1,113,119,6,26,22,17,False
2,2,196,212,16,77,-3,20,True
3,3,337,349,12,125,-15,35,True
4,4,462,472,10,113,23,35,False
5,5,666,674,8,194,-15,50,True
6,6,913,916,3,239,0,50,False
7,7,925,936,11,9,-12,62,True
8,8,1213,1224,11,277,22,62,False
9,9,1339,1345,6,115,-6,68,True
10,10,1469,1479,10,124,-8,76,True
11,11,1522,1522,-888,-888,14,76,False
12,12,1733,1742,9,254,-10,86,True
13,13,1926,1937,11,184,-12,98,True
14,14,1950,1950,-888,-888,20,98,False
15,15,2185,2198,13,248,-12,110,True
16,16,2286,2286,-888,-888,17,110,False
17,17,2512,2540,28,314,-21,131,True
18,18,2547,2547,-888,-888,19,131,False
19,19,2794,2803,9,254,-21,152,True
20,20,2815,2816,-888,-888,33,152,False
21,21,2917,2930,13,114,-14,166,True
22,22,3207,3219,12,277,-21,187,True
