,index,startTime,endTime,holdingTime,interval,changeAmount,accumAmount,drink
0,0,26,26,-888,-888,13,0,False
1,1,103,109,6,103,-13,13,True
2,2,152,161,9,43,26,13,False
3,3,225,232,7,64,-26,39,True
4,4,367,372,5,135,20,39,False
5,5,388,393,5,16,-20,59,True
6,6,576,582,6,183,29,59,False
7,7,691,697,6,109,-29,88,True
8,8,856,861,5,159,31,88,False
9,9,1061,1065,4,200,-31,119,True
10,10,1294,1298,4,229,52,119,False
11,11,1328,1334,6,30,-25,144,True
12,12,1560,1564,4,226,-27,171,True
13,13,1758,1763,5,194,44,171,False
14,14,1821,1827,6,58,-44,215,True
15,15,2073,2078,5,246,40,215,False
16,16,2945,2952,7,867,-39,254,True
