,index,startTime,endTime,holdingTime,interval,changeAmount,accumAmount,drink
0,0,80,87,7,80,37,0,False
1,1,570,576,6,483,-37,37,True
2,2,691,692,-888,-888,42,37,False
3,3,1058,1063,5,482,-41,78,True
4,4,1169,1174,5,106,44,78,False
5,5,1392,1401,9,218,-45,123,True
6,6,1584,1584,-888,-888,39,123,False
7,7,1720,1726,6,319,-39,162,True
8,8,1931,1931,-888,-888,37,162,False
9,9,1940,1946,6,214,-37,199,True
10,10,2041,2041,-888,-888,40,199,False
11,11,2145,2151,6,199,-40,239,True
12,12,2371,2371,-888,-888,42,239,False
13,13,2642,2649,7,491,-42,281,True
14,14,2776,2776,-888,-888,38,281,False
15,15,2937,2946,9,288,-38,319,True
16,16,2970,2970,-888,-888,53,319,False
17,17,3577,3585,8,631,-53,372,True
18,18,3592,3592,-888,-888,39,372,False
19,19,4038,4044,6,453,-38,410,True
20,20,4052,4052,-888,-888,45,410,False
21,21,4713,4720,7,669,-46,456,True
22,22,4726,4727,-888,-888,39,456,False
23,23,4859,4864,5,139,-39,495,True
24,24,5132,5132,-888,-888,41,495,False
25,25,5290,5296,6,426,-40,535,True
26,26,5340,5340,-888,-888,39,535,False
27,27,5606,5611,5,310,-40,575,True
28,28,5827,5827,-888,-888,41,575,False
29,29,6266,6271,5,655,-41,616,True
30,30,6283,6283,-888,-888,46,616,False
31,31,6587,6593,6,316,-46,662,True
32,32,6780,6780,-888,-888,40,662,False
33,33,7165,7169,4,572,-40,702,True
34,34,7333,7333,-888,-888,37,702,False
35,35,7527,7534,7,358,-37,739,True
36,36,7550,7552,-888,-888,47,739,False
37,37,9078,9083,5,1544,-47,786,True
