,index,startTime,endTime,holdingTime,interval,changeAmount,accumAmount,drink
0,0,18,20,-888,-888,34.0,0.0,False
1,1,28,35,7,28,-34.0,34.0,True
2,2,112,113,-888,-888,36.0,34.0,False
3,3,154,160,6,119,-35.0,69.0,True
4,4,307,307,-888,-888,34.0,69.0,False
5,5,398,404,6,238,-34.0,103.0,True
6,6,618,618,-888,-888,33.0,103.0,False
7,7,743,749,6,339,-33.0,136.0,True
8,8,919,920,-888,-888,35.0,136.0,False
9,9,1073,1082,9,324,-35.0,171.0,True
10,10,1169,1175,6,87,31.0,171.0,False
11,11,1337,1348,11,162,-31.0,202.0,True
12,12,1555,1555,-888,-888,30.0,202.0,False
13,13,1767,1780,13,419,-30.0,232.0,True
14,14,2053,2054,-888,-888,34.0,232.0,False
15,15,2138,2184,46,358,-34.0,266.0,True
16,16,2427,2427,-888,-888,31.0,266.0,False
17,17,2595,2601,6,411,-31.0,297.0,True
18,18,2863,2865,-888,-888,37.0,297.0,False
19,19,3524,3532,8,923,-38.0,335.0,True
20,20,3727,3729,-888,-888,41.0,335.0,False
21,21,3916,3927,11,384,-40.0,375.0,True
22,22,3965,3965,-888,-888,31.0,375.0,False
23,23,4542,4553,11,615,-32.0,407.0,True
