,index,startTime,endTime,holdingTime,interval,changeAmount,accumAmount,drink
0,0,57,66,9,57,47.0,0.0,False
1,1,139,145,6,73,-47.0,47.0,True
2,2,205,206,-888,-888,39.0,47.0,False
3,3,246,255,9,101,-39.0,86.0,True
4,4,257,266,9,2,5.0,86.0,False
5,5,268,268,-888,-888,38.0,86.0,False
6,6,386,393,7,120,-43.0,129.0,True
7,7,424,425,-888,-888,37.0,129.0,False
8,8,467,475,8,74,-37.0,166.0,True
9,9,523,527,-888,-888,44.0,166.0,False
10,10,633,651,18,158,-44.0,210.0,True
11,11,674,675,-888,-888,38.0,210.0,False
12,12,973,981,8,322,-38.0,248.0,True
13,13,1004,1006,-888,-888,40.0,248.0,False
14,14,1154,1161,7,173,-40.0,288.0,True
15,15,1194,1195,-888,-888,35.0,288.0,False
16,16,1470,1477,7,309,-35.0,323.0,True
17,17,1488,1488,-888,-888,38.0,323.0,False
18,18,1832,1838,6,355,-38.0,361.0,True
19,19,1862,1865,-888,-888,35.0,361.0,False
20,20,1898,1912,14,60,5.0,361.0,False
21,21,2024,2036,12,112,-40.0,401.0,True
22,22,2049,2050,-888,-888,45.0,401.0,False
23,23,2178,2198,20,142,-45.0,446.0,True
24,24,2292,2294,2,94,0.0,446.0,False
25,25,2337,2337,-888,-888,48.0,446.0,False
26,26,2488,2505,17,194,-48.0,494.0,True
27,27,2513,2515,-888,-888,38.0,494.0,False
28,28,2844,2855,11,339,-14.0,508.0,True
29,29,2860,2863,3,5,-24.0,532.0,True
30,30,3186,3186,-888,-888,49.0,532.0,False
31,31,3495,3501,6,632,-18.0,550.0,True
