,index,startTime,endTime,holdingTime,interval,changeAmount,accumAmount,drink
0,0,194,205,11,194,46,0,False
1,1,317,325,8,112,-45,45,True
2,2,490,497,7,165,68,45,False
3,3,713,717,4,216,-29,74,True
4,4,1315,1322,7,598,-39,113,True
5,5,1413,1414,-888,-888,65,113,False
6,6,2067,2074,7,745,-64,177,True
7,7,2255,2257,2,181,-2,179,True
8,8,2378,2384,6,121,79,179,False
9,9,2697,2706,9,313,-78,257,True
10,10,3450,3455,5,744,73,257,False
11,11,3761,3765,4,306,-26,283,True
12,12,3957,3963,6,192,-25,308,True
13,13,5074,5082,8,1111,-20,328,True
14,14,6454,6455,-888,-888,18,328,False
15,15,6462,6463,-888,-888,78,328,False
16,16,6891,6891,-888,-888,-72,328,False
17,17,8120,8120,-888,-888,24,328,False
18,18,8368,8450,82,3286,-49,377,True
19,19,9948,9963,15,1498,-999,-999,
