,index,startTime,endTime,holdingTime,interval,changeAmount,accumAmount,drink
0,0,248,265,17,248,47,0,False
1,1,267,268,1,2,-25,25,True
2,2,371,389,18,103,-11,36,True
3,3,830,841,11,441,-11,47,True
4,4,899,907,8,58,24,47,False
5,5,1235,1244,9,328,-13,60,True
6,6,1495,1537,42,251,-11,71,True
7,7,1623,1634,11,86,28,71,False
8,8,2354,2363,9,720,-16,87,True
9,9,2433,2468,35,70,17,87,False
10,10,2695,2706,11,227,-18,105,True
11,11,3034,3061,27,328,-11,116,True
12,12,3081,3092,11,20,31,116,False
13,13,3401,3436,35,309,-16,132,True
14,14,3755,3765,10,319,-15,147,True
15,15,3921,4049,128,156,22,147,False
16,16,4545,4548,3,496,-2,149,True
17,17,4563,4582,19,15,-20,169,True
18,18,5251,5658,407,669,0,169,False
19,19,5695,5722,27,37,1,169,False
20,20,5775,5776,1,53,0,169,False
