,index,startTime,endTime,holdingTime,interval,changeAmount,accumAmount,drink
0,0,163,171,8,163,29,0,False
1,1,646,654,8,475,-24,24,True
2,2,741,741,-888,-888,24,24,False
3,3,936,945,9,282,-25,49,True
4,4,1067,1067,-888,-888,31,49,False
5,5,1291,1303,12,346,-32,81,True
6,6,1349,1350,-888,-888,30,81,False
7,7,1738,1747,9,435,-31,112,True
8,8,1762,1764,-888,-888,34,112,False
9,9,2277,2287,10,530,-34,146,True
10,10,2322,2324,-888,-888,45,146,False
11,11,2620,2633,13,333,-45,191,True
12,12,3028,3029,-888,-888,30,191,False
13,13,3057,3065,8,424,-29,220,True
14,14,3117,3117,-888,-888,36,220,False
15,15,3651,3658,7,586,-37,257,True
16,16,3698,3698,-888,-888,30,257,False
17,17,4351,4357,6,693,-28,285,True
18,18,4379,4380,-888,-888,34,285,False
19,19,4858,4864,6,501,-36,321,True
20,20,4886,4887,-888,-888,33,321,False
21,21,5112,5118,6,248,-31,352,True
22,22,5123,5124,-888,-888,52,352,False
23,23,5415,5421,6,297,-53,405,True
