,index,startTime,endTime,holdingTime,interval,changeAmount,accumAmount,drink
0,0,124,149,25,124,0.0,0.0,False
1,1,182,222,40,33,0.0,0.0,False
2,2,230,246,16,8,0.0,0.0,False
3,3,395,412,17,149,0.0,0.0,False
4,4,572,606,34,160,0.0,0.0,False
5,5,819,845,26,213,0.0,0.0,False
6,6,1016,1046,30,171,0.0,0.0,False
7,7,1152,1153,-888,-888,51.0,0.0,False
8,8,1256,1280,24,210,-51.0,51.0,True
9,9,1363,1365,-888,-888,54.0,51.0,False
10,10,1446,1485,39,166,-54.0,105.0,True
11,11,1603,1606,-888,-888,45.0,105.0,False
12,12,1612,1612,-888,-888,8.0,105.0,False
13,13,1663,1692,29,178,-53.0,158.0,True
14,14,1744,1744,-888,-888,24.0,158.0,False
15,15,1925,1934,9,233,-24.0,182.0,True
16,16,2011,2099,88,77,0.0,182.0,False
17,17,2233,2234,-888,-888,46.0,182.0,False
18,18,2391,2416,25,292,-46.0,228.0,True
19,19,2724,2724,-888,-888,59.0,228.0,False
20,20,2730,2872,142,314,-59.0,287.0,True
21,21,2918,2919,-888,-888,48.0,287.0,False
22,22,2998,3311,313,126,-48.0,335.0,True
